Mod:Item:MetaData, Localized Name
BiblioCraft:BiblioSwordPedestal:12, Sword Pedestal
BiblioCraft:BiblioSwordPedestal:13, Sword Pedestal
BiblioCraft:BiblioSwordPedestal:14, Sword Pedestal
BiblioCraft:BiblioSwordPedestal:15, Sword Pedestal
BiblioCraft:BiblioFancySign:0, Oak Fancy Sign
BiblioCraft:BiblioFancySign:1, Spruce Fancy Sign
BiblioCraft:BiblioFancySign:2, Birch Fancy Sign
BiblioCraft:BiblioFancySign:3, Jungle Fancy Sign
BiblioCraft:BiblioFancySign:4, Acacia Fancy Sign
BiblioCraft:BiblioFancySign:5, Dark Oak Fancy Sign
BiblioCraft:BiblioFancySign:6, Framed Fancy Sign
BiblioCraft:BiblioWorkbench:0, Oak Fancy Workbench
BiblioCraft:BiblioWorkbench:1, Spruce Fancy Workbench
BiblioCraft:BiblioWorkbench:2, Birch Fancy Workbench
BiblioCraft:BiblioWorkbench:3, Jungle Fancy Workbench
BiblioCraft:BiblioWorkbench:4, Acacia Fancy Workbench
BiblioCraft:BiblioWorkbench:5, Dark Oak Fancy Workbench
BiblioCraft:BiblioWorkbench:6, Framed Fancy Workbench
BiblioCraft:BiblioBell, Desk Bell
BiblioCraft:Bibliotheca:0, Oak Bookcase
BiblioCraft:Bibliotheca:1, Spruce Bookcase
BiblioCraft:Bibliotheca:2, Birch Bookcase
BiblioCraft:Bibliotheca:3, Jungle Bookcase
BiblioCraft:Bibliotheca:4, Acacia Bookcase
BiblioCraft:Bibliotheca:5, Dark Oak Bookcase
BiblioCraft:Bibliotheca:6, Framed Bookcase
BiblioCraft:BookcaseFilled:0, Oak Bookcase
BiblioCraft:BookcaseFilled:1, Spruce Bookcase
BiblioCraft:BookcaseFilled:2, Birch Bookcase
BiblioCraft:BookcaseFilled:3, Jungle Bookcase
BiblioCraft:BookcaseFilled:4, Acacia Bookcase
BiblioCraft:BookcaseFilled:5, Dark Oak Bookcase
BiblioCraft:BookcaseFilled:6, Framed Bookcase
BiblioCraft:BiblioPotionShelf:0, Oak Potion Shelf
BiblioCraft:BiblioPotionShelf:1, Spruce Potion Shelf
BiblioCraft:BiblioPotionShelf:2, Birch Potion Shelf
BiblioCraft:BiblioPotionShelf:3, Jungle Potion Shelf
BiblioCraft:BiblioPotionShelf:4, Acacia Potion Shelf
BiblioCraft:BiblioPotionShelf:5, Dark Oak Potion Shelf
BiblioCraft:BiblioPotionShelf:6, Framed Potion Shelf
BiblioCraft:BiblioShelf:0, Oak Shelf
BiblioCraft:BiblioShelf:1, Spruce Shelf
BiblioCraft:BiblioShelf:2, Birch Shelf
BiblioCraft:BiblioShelf:3, Jungle Shelf
BiblioCraft:BiblioShelf:4, Acacia Shelf
BiblioCraft:BiblioShelf:5, Dark Oak Shelf
BiblioCraft:BiblioShelf:6, Framed Shelf
BiblioCraft:BiblioRack:0, Oak Tool Rack
BiblioCraft:BiblioRack:1, Spruce Tool Rack
BiblioCraft:BiblioRack:2, Birch Tool Rack
BiblioCraft:BiblioRack:3, Jungle Tool Rack
BiblioCraft:BiblioRack:4, Acacia Tool Rack
BiblioCraft:BiblioRack:5, Dark Oak Tool Rack
BiblioCraft:BiblioRack:6, Framed Tool Rack
BiblioCraft:BiblioCase:0, Oak Case
BiblioCraft:BiblioCase:1, Spruce Case
BiblioCraft:BiblioCase:2, Birch Case
BiblioCraft:BiblioCase:3, Jungle Case
BiblioCraft:BiblioCase:4, Acacia Case
BiblioCraft:BiblioCase:5, Dark Oak Case
BiblioCraft:BiblioCase:6, Framed Case
BiblioCraft:BiblioLabel:0, Oak Wood Label
BiblioCraft:BiblioLabel:1, Spruce Wood Label
BiblioCraft:BiblioLabel:2, Birch Wood Label
BiblioCraft:BiblioLabel:3, Jungle Wood Label
BiblioCraft:BiblioLabel:4, Acacia Label
BiblioCraft:BiblioLabel:5, Dark Oak Label
BiblioCraft:BiblioLabel:6, Framed Label
BiblioCraft:BiblioDesk:0, Oak Desk
BiblioCraft:BiblioDesk:1, Spruce Desk
BiblioCraft:BiblioDesk:2, Birch Desk
BiblioCraft:BiblioDesk:3, Jungle Desk
BiblioCraft:BiblioDesk:4, Acacia Desk
BiblioCraft:BiblioDesk:5, Dark Oak Desk
BiblioCraft:BiblioDesk:6, Framed Desk
BiblioCraft:BiblioTable:0, Oak Table
BiblioCraft:BiblioTable:1, Spruce Table
BiblioCraft:BiblioTable:2, Birch Table
BiblioCraft:BiblioTable:3, Jungle Table
BiblioCraft:BiblioTable:4, Acacia Table
BiblioCraft:BiblioTable:5, Dark Oak Table
BiblioCraft:BiblioTable:6, Framed Table
BiblioCraft:Armor Stand, Armor Stand
BiblioCraft:Typesetting Machine, Typesetting Table
BiblioCraft:Printing Press, Printing Press
BiblioCraft:BiblioLantern:0, Fancy Lantern
BiblioCraft:BiblioLantern:1, Fancy Lantern
BiblioCraft:BiblioLantern:2, Fancy Lantern
BiblioCraft:BiblioLantern:3, Fancy Lantern
BiblioCraft:BiblioLantern:4, Fancy Lantern
BiblioCraft:BiblioLantern:5, Fancy Lantern
BiblioCraft:BiblioLantern:6, Fancy Lantern
BiblioCraft:BiblioLantern:7, Fancy Lantern
BiblioCraft:BiblioLantern:8, Fancy Lantern
BiblioCraft:BiblioLantern:9, Fancy Lantern
BiblioCraft:BiblioLantern:10, Fancy Lantern
BiblioCraft:BiblioLantern:11, Fancy Lantern
BiblioCraft:BiblioLantern:12, Fancy Lantern
BiblioCraft:BiblioLantern:13, Fancy Lantern
BiblioCraft:BiblioLantern:14, Fancy Lantern
BiblioCraft:BiblioLantern:15, Fancy Lantern
BiblioCraft:BiblioIronLantern:0, Fancy Lantern
BiblioCraft:BiblioIronLantern:1, Fancy Lantern
BiblioCraft:BiblioIronLantern:2, Fancy Lantern
BiblioCraft:BiblioIronLantern:3, Fancy Lantern
BiblioCraft:BiblioIronLantern:4, Fancy Lantern
BiblioCraft:BiblioIronLantern:5, Fancy Lantern
BiblioCraft:BiblioIronLantern:6, Fancy Lantern
BiblioCraft:BiblioIronLantern:7, Fancy Lantern
BiblioCraft:BiblioIronLantern:8, Fancy Lantern
BiblioCraft:BiblioIronLantern:9, Fancy Lantern
BiblioCraft:BiblioIronLantern:10, Fancy Lantern
BiblioCraft:BiblioIronLantern:11, Fancy Lantern
BiblioCraft:BiblioIronLantern:12, Fancy Lantern
BiblioCraft:BiblioIronLantern:13, Fancy Lantern
BiblioCraft:BiblioIronLantern:14, Fancy Lantern
BiblioCraft:BiblioIronLantern:15, Fancy Lantern
BiblioCraft:BiblioLamp:0, Fancy Lamp
BiblioCraft:BiblioLamp:1, Fancy Lamp
BiblioCraft:BiblioLamp:2, Fancy Lamp
BiblioCraft:BiblioLamp:3, Fancy Lamp
BiblioCraft:BiblioLamp:4, Fancy Lamp
BiblioCraft:BiblioLamp:5, Fancy Lamp
BiblioCraft:BiblioLamp:6, Fancy Lamp
BiblioCraft:BiblioLamp:7, Fancy Lamp
BiblioCraft:BiblioLamp:8, Fancy Lamp
BiblioCraft:BiblioLamp:9, Fancy Lamp
BiblioCraft:BiblioLamp:10, Fancy Lamp
BiblioCraft:BiblioLamp:11, Fancy Lamp
BiblioCraft:BiblioLamp:12, Fancy Lamp
BiblioCraft:BiblioLamp:13, Fancy Lamp
BiblioCraft:BiblioLamp:14, Fancy Lamp
BiblioCraft:BiblioLamp:15, Fancy Lamp
BiblioCraft:BiblioIronLamp:0, Fancy Lamp
BiblioCraft:BiblioIronLamp:1, Fancy Lamp
BiblioCraft:BiblioIronLamp:2, Fancy Lamp
BiblioCraft:BiblioIronLamp:3, Fancy Lamp
BiblioCraft:BiblioIronLamp:4, Fancy Lamp
BiblioCraft:BiblioIronLamp:5, Fancy Lamp
BiblioCraft:BiblioIronLamp:6, Fancy Lamp
BiblioCraft:BiblioIronLamp:7, Fancy Lamp
BiblioCraft:BiblioIronLamp:8, Fancy Lamp
BiblioCraft:BiblioIronLamp:9, Fancy Lamp
BiblioCraft:BiblioIronLamp:10, Fancy Lamp
BiblioCraft:BiblioIronLamp:11, Fancy Lamp
BiblioCraft:BiblioIronLamp:12, Fancy Lamp
BiblioCraft:BiblioIronLamp:13, Fancy Lamp
BiblioCraft:BiblioIronLamp:14, Fancy Lamp
BiblioCraft:BiblioIronLamp:15, Fancy Lamp
BiblioCraft:BiblioStuffs:0, Cookie Jar
BiblioCraft:BiblioStuffs:2, Dinner Plate
BiblioCraft:BiblioStuffs:3, Disc Rack
BiblioCraft:BiblioMapFrames:0, Oak Map Frame
BiblioCraft:BiblioMapFrames:1, Spruce Map Frame
BiblioCraft:BiblioMapFrames:2, Birch Map Frame
BiblioCraft:BiblioMapFrames:3, Jungle Map Frame
BiblioCraft:BiblioMapFrames:4, Acacia Map Frame
BiblioCraft:BiblioMapFrames:5, Dark Oak Map Frame
BiblioCraft:BiblioMapFrames:6, Framed Map Frame
BiblioCraft:BiblioSeats:0, Oak Seat
BiblioCraft:BiblioSeats:1, Spruce Seat
BiblioCraft:BiblioSeats:2, Birch Seat
BiblioCraft:BiblioSeats:3, Jungle Seat
BiblioCraft:BiblioSeats:4, Acacia Seat
BiblioCraft:BiblioSeats:5, Dark Oak Seat
BiblioCraft:BiblioSeats:6, Framed Seat
ThermalFoundation:Ore:0, Copper Ore
ThermalFoundation:Ore:1, Tin Ore
ThermalFoundation:Ore:2, Silver Ore
ThermalFoundation:Ore:3, Lead Ore
ThermalFoundation:Ore:4, Ferrous Ore
ThermalFoundation:Ore:5, Shiny Ore
ThermalFoundation:Ore:6, Mana Infused Ore
ThermalFoundation:Storage:0, Copper Block
ThermalFoundation:Storage:1, Tin Block
ThermalFoundation:Storage:2, Silver Block
ThermalFoundation:Storage:3, Lead Block
ThermalFoundation:Storage:4, Ferrous Block
ThermalFoundation:Storage:5, Shiny Block
ThermalFoundation:Storage:6, Mana Infused Block
ThermalFoundation:Storage:7, Electrum Block
ThermalFoundation:Storage:8, Invar Block
ThermalFoundation:Storage:9, Bronze Block
ThermalFoundation:Storage:10, Signalum Block
ThermalFoundation:Storage:11, Lumium Block
ThermalFoundation:Storage:12, Enderium Block
ThermalFoundation:FluidRedstone, Destabilized Redstone
ThermalFoundation:FluidGlowstone, Energized Glowstone
ThermalFoundation:FluidEnder, Resonant Ender
ThermalFoundation:FluidPyrotheum, Blazing Pyrotheum
ThermalFoundation:FluidCryotheum, Gelid Cryotheum
ThermalFoundation:FluidAerotheum, Zephyrean Aerotheum
ThermalFoundation:FluidPetrotheum, Tectonic Petrotheum
ThermalFoundation:FluidMana, Primal Mana
ThermalFoundation:FluidSteam, Steam
ThermalFoundation:FluidCoal, Liquifacted Coal
BigReactors:YelloriteOre:0, Yellorite Ore
BigReactors:BRMetalBlock:0, Yellorium Block
BigReactors:BRMetalBlock:1, Cyanite Block
BigReactors:BRMetalBlock:2, Graphite Block
BigReactors:BRMetalBlock:3, Blutonium Block
BigReactors:BRMetalBlock:4, Ludicrite Block
BigReactors:YelloriumFuelRod, Yellorium Fuel Rod
BigReactors:BRReactorPart:0, Reactor Casing
BigReactors:BRReactorPart:1, Reactor Controller
BigReactors:BRReactorPart:2, Reactor Control Rod
BigReactors:BRReactorPart:3, Reactor Power Tap
BigReactors:BRReactorPart:4, Reactor Access Port
BigReactors:BRReactorPart:5, Reactor Coolant Port
BigReactors:BRReactorPart:6, Reactor RedNet Port
BigReactors:BRReactorPart:7, Reactor Computer Port
BigReactors:BRMultiblockGlass:0, Reactor Glass
BigReactors:BRMultiblockGlass:1, Turbine Glass
BigReactors:BRReactorRedstonePort, Reactor Redstone Port
BigReactors:BRTurbinePart:0, Turbine Housing
BigReactors:BRTurbinePart:1, Turbine Controller
BigReactors:BRTurbinePart:2, Turbine Power Port
BigReactors:BRTurbinePart:3, Turbine Fluid Port
BigReactors:BRTurbinePart:4, Turbine Rotor Bearing
BigReactors:BRTurbinePart:5, Turbine Computer Port
BigReactors:BRTurbineRotorPart:0, Turbine Rotor Shaft
BigReactors:BRTurbineRotorPart:1, Turbine Rotor Blade
BigReactors:BRDevice:0, Cyanite Reprocesssor
BigReactors:tile.fluid.yellorium.still, Fluid Yellorium
BigReactors:tile.fluid.cyanite.still, Fluid Cyanite
BigReactors:BRMultiblockCreativePart:0, Reactor Creative Coolant Port
BigReactors:BRMultiblockCreativePart:1, Turbine Creative Steam Generator
BinnieCore:storage:0, Compartment
BinnieCore:storage:1, Copper Compartment
BinnieCore:storage:2, Bronze Compartment
BinnieCore:storage:3, Iron Compartment
BinnieCore:storage:4, Gold Compartment
BinnieCore:storage:5, Diamond Compartment
Botany:flower, Flower
Botany:plant:0, Weeds
Botany:plant:1, Long Weeds
Botany:plant:2, Very Long Weeds
Botany:plant:3, Dead Flower
Botany:plant:4, Decaying Flower
Botany:soil:0, Soil
Botany:soil:1, Soil
Botany:soil:2, Soil
Botany:soil:3, Soil
Botany:soil:4, Soil
Botany:soil:5, Soil
Botany:soil:6, Soil
Botany:soil:7, Soil
Botany:soil:8, Soil
Botany:loam:0, Loam
Botany:loam:1, Loam
Botany:loam:2, Loam
Botany:loam:3, Loam
Botany:loam:4, Loam
Botany:loam:5, Loam
Botany:loam:6, Loam
Botany:loam:7, Loam
Botany:loam:8, Loam
Botany:flowerbed:0, Flowerbed
Botany:flowerbed:1, Flowerbed
Botany:flowerbed:2, Flowerbed
Botany:flowerbed:3, Flowerbed
Botany:flowerbed:4, Flowerbed
Botany:flowerbed:5, Flowerbed
Botany:flowerbed:6, Flowerbed
Botany:flowerbed:7, Flowerbed
Botany:flowerbed:8, Flowerbed
Botany:soilNoWeed:0, Soil
Botany:soilNoWeed:1, Soil
Botany:soilNoWeed:2, Soil
Botany:soilNoWeed:3, Soil
Botany:soilNoWeed:4, Soil
Botany:soilNoWeed:5, Soil
Botany:soilNoWeed:6, Soil
Botany:soilNoWeed:7, Soil
Botany:soilNoWeed:8, Soil
Botany:loamNoWeed:0, Loam
Botany:loamNoWeed:1, Loam
Botany:loamNoWeed:2, Loam
Botany:loamNoWeed:3, Loam
Botany:loamNoWeed:4, Loam
Botany:loamNoWeed:5, Loam
Botany:loamNoWeed:6, Loam
Botany:loamNoWeed:7, Loam
Botany:loamNoWeed:8, Loam
Botany:flowerbedNoWeed:0, Flowerbed
Botany:flowerbedNoWeed:1, Flowerbed
Botany:flowerbedNoWeed:2, Flowerbed
Botany:flowerbedNoWeed:3, Flowerbed
Botany:flowerbedNoWeed:4, Flowerbed
Botany:flowerbedNoWeed:5, Flowerbed
Botany:flowerbedNoWeed:6, Flowerbed
Botany:flowerbedNoWeed:7, Flowerbed
Botany:flowerbedNoWeed:8, Flowerbed
Botany:ceramic, tile.ceramic.name
Botany:stained, tile.stained.name
Botany:ceramicPattern, tile.ceramicPattern.name
Botany:ceramicBrick, tile.ceramicBrick.name
ExtraTrees:planks, tile.planks.name
ExtraTrees:fence, Fence
ExtraTrees:multifence, tile.multifence.name
ExtraTrees:log, Wood
ExtraTrees:gate, tile.null.name
ExtraTrees:slab:0, Fir Wood Slab
ExtraTrees:slab:1, Cedar Wood Slab
ExtraTrees:slab:2, Hemlock Wood Slab
ExtraTrees:slab:3, Cypress Wood Slab
ExtraTrees:slab:4, Fig Wood Slab
ExtraTrees:slab:5, Beech Wood Slab
ExtraTrees:slab:6, Alder Wood Slab
ExtraTrees:slab:7, Hazel Wood Slab
ExtraTrees:slab:8, Hornbeam Wood Slab
ExtraTrees:slab:9, Box Wood Slab
ExtraTrees:slab:10, Butternut Wood Slab
ExtraTrees:slab:11, Hickory Wood Slab
ExtraTrees:slab:12, Whitebeam Wood Slab
ExtraTrees:slab:13, Elm Wood Slab
ExtraTrees:slab:14, Apple Wood Slab
ExtraTrees:slab:15, Yew Wood Slab
ExtraTrees:slab:16, Pear Wood Slab
ExtraTrees:slab:17, Hawthorn Wood Slab
ExtraTrees:slab:18, Rowan Wood Slab
ExtraTrees:slab:19, Elder Wood Slab
ExtraTrees:slab:20, Maclura Wood Slab
ExtraTrees:slab:21, Syzgium Wood Slab
ExtraTrees:slab:22, Brazilwood Wood Slab
ExtraTrees:slab:23, Logwood Wood Slab
ExtraTrees:slab:24, Iroko Wood Slab
ExtraTrees:slab:25, Locust Wood Slab
ExtraTrees:slab:26, Eucalyptus Wood Slab
ExtraTrees:slab:27, Purpleheart Wood Slab
ExtraTrees:slab:28, Ash Wood Slab
ExtraTrees:slab:29, Holly Wood Slab
ExtraTrees:slab:30, Olive Wood Slab
ExtraTrees:slab:31, Sweetgum Wood Slab
ExtraTrees:slab:32, Rosewood Wood Slab
ExtraTrees:slab:33, Gingko Wood Slab
ExtraTrees:slab:34, Pink Ivory Wood Slab
ExtraTrees:door, tile.door.name
ExtraTrees:stairs, tile.stairs.name
ExtraTrees:carpentry, tile.carpentry.name
ExtraTrees:panel, tile.carpentry.name
ExtraTrees:stainedglass, Stained Glass
ExtraTrees:machine:0, Lumbermill
ExtraTrees:machine:1, Woodworker
ExtraTrees:machine:2, Panelworker
ExtraTrees:machine:3, Glassworker
ExtraTrees:machine:4, Tileworker
Genetics:machine:0, Isolator
Genetics:machine:1, Sequencer
Genetics:machine:2, Polymeriser
Genetics:machine:3, Inoculator
Genetics:labMachine:0, Lab Stand
Genetics:labMachine:1, Analyzer
Genetics:labMachine:2, Incubator
Genetics:labMachine:3, Genepool
Genetics:labMachine:4, Acclimatiser
Genetics:advMachine:0, Splicer
ExtraBees:ectoplasm, Ectoplasm
ExtraBees:hive:0, Water Hive
ExtraBees:hive:1, Rock Hive
ExtraBees:hive:2, Nether Hive
ExtraBees:hive:3, Marble Hive
ExtraBees:alveary:0, Mutator
ExtraBees:alveary:1, Frame Housing
ExtraBees:alveary:2, Rain Shield
ExtraBees:alveary:3, Alveary Lighting
ExtraBees:alveary:4, Electrical Stimulator
ExtraBees:alveary:5, Hatchery
ExtraBees:alveary:6, Alveary Transmission
BuildCraft|Core:eternalSpring:0, Water Spring
BuildCraft|Core:eternalSpring:1, Oil Spring
BuildCraft|Core:buildToolBlock, tile.buildToolBlock.name
BuildCraft|Core:engineBlock:0, Redstone Engine
BuildCraft|Core:engineBlock:1, Stirling Engine
BuildCraft|Core:engineBlock:2, Combustion Engine
BuildCraft|Core:engineBlock:3, Creative Engine
BuildCraft|Core:markerBlock, Land Mark
BuildCraft|Core:pathMarkerBlock, Path Mark
BuildCraft|Transport:filteredBufferBlock, Filtered Buffer
BuildCraft|Transport:pipeBlock, tile.pipeBlock.name
BuildCraft|Factory:miningWellBlock, Mining Well
BuildCraft|Factory:plainPipeBlock, Mining Pipe
BuildCraft|Factory:autoWorkbenchBlock, Auto Workbench
BuildCraft|Factory:tankBlock, Tank
BuildCraft|Factory:pumpBlock, Pump
BuildCraft|Factory:floodGateBlock, Flood Gate
BuildCraft|Factory:refineryBlock, Refinery
BuildCraft|Factory:blockHopper, Chute
BuildCraft|Silicon:laserBlock, Laser
BuildCraft|Silicon:laserTableBlock:0, Assembly Table
BuildCraft|Silicon:laserTableBlock:1, Advanced Crafting Table
BuildCraft|Silicon:laserTableBlock:2, Integration Table
BuildCraft|Silicon:laserTableBlock:3, Charging Table
BuildCraft|Silicon:laserTableBlock:4, Programming Table
BuildCraft|Silicon:laserTableBlock:5, Stamping Table
BuildCraft|Silicon:packagerBlock, Recipe Packager
BuildCraft|Robotics:zonePlan, Zone Planner
BuildCraft|Robotics:requester, Requester
BuildCraft|Energy:blockOil, Oil
BuildCraft|Energy:blockFuel, Fuel
BuildCraft|Energy:blockRedPlasma, tile.blockRedPlasma.name
BuildCraft|Builders:machineBlock, Quarry
BuildCraft|Builders:fillerBlock, Filler
BuildCraft|Builders:frameBlock, Frame
BuildCraft|Builders:builderBlock, Builder Block
BuildCraft|Builders:architectBlock, Architect Table
BuildCraft|Builders:libraryBlock, Electronic Library
BuildCraft|Builders:constructionMarkerBlock, Construction Mark
Railcraft:fluid.creosote, Creosote
Railcraft:fluid.steam, Steam
Railcraft:residual.heat, Residual Heat
Railcraft:cube:0, Block of Coal Coke
Railcraft:cube:9, Block of Copper
Railcraft:cube:10, Block of Tin
Railcraft:cube:11, Block of Lead
Railcraft:cube:2, Block of Steel
Railcraft:cube:1, Block of Concrete
Railcraft:cube:8, Creosote Wood Block
Railcraft:cube:4, Crushed Obsidian
Railcraft:cube:6, Abyssal Stone
Railcraft:cube:7, Quarried Stone
Railcraft:anvil:0, Steel Anvil
Railcraft:anvil:1, Slightly Damaged Anvil
Railcraft:anvil:2, Very Damaged Anvil
Railcraft:machine.alpha:7, Coke Oven Brick
Railcraft:machine.alpha:12, Blast Furnace Brick
Railcraft:machine.alpha:3, Steam Oven
Railcraft:machine.alpha:14, Water Tank Siding
Railcraft:machine.alpha:8, Rolling Machine
Railcraft:machine.alpha:15, Rock Crusher
Railcraft:machine.alpha:11, Feed Station
Railcraft:machine.alpha:6, Trade Station
Railcraft:machine.alpha:0, World Anchor
Railcraft:machine.alpha:2, Personal Anchor
Railcraft:machine.alpha:13, Passive Anchor
Railcraft:machine.alpha:4, Admin Anchor
Railcraft:machine.alpha:1, Steam Turbine Housing
Railcraft:machine.alpha:5, Smoker
Railcraft:machine.alpha:9, Manual Steam Trap
Railcraft:machine.alpha:10, Automated Steam Trap
Railcraft:machine.beta:0, Iron Tank Wall
Railcraft:machine.beta:1, Iron Tank Gauge
Railcraft:machine.beta:2, Iron Tank Valve
Railcraft:machine.beta:13, Steel Tank Wall
Railcraft:machine.beta:14, Steel Tank Gauge
Railcraft:machine.beta:15, Steel Tank Valve
Railcraft:machine.beta:5, Solid Fueled Boiler Firebox
Railcraft:machine.beta:6, Liquid Fueled Boiler Firebox
Railcraft:machine.beta:3, Low Pressure Boiler Tank
Railcraft:machine.beta:4, High Pressure Boiler Tank
Railcraft:machine.beta:7, Hobbyist's Steam Engine
Railcraft:machine.beta:8, Commercial Steam Engine
Railcraft:machine.beta:9, Industrial Steam Engine
Railcraft:machine.beta:10, Anchor Sentinel
Railcraft:machine.beta:11, Void Chest
Railcraft:machine.beta:12, Metals Chest
Railcraft:track:4767, Switch Track
Railcraft:track:2144, Wye Track
Railcraft:track:0, Junction Track
Railcraft:track:0, Control Track
Railcraft:track:20176, Locking Track
Railcraft:track:23575, Disembarking Track
Railcraft:track:0, Embarking Track
Railcraft:track:0, Coupler Track
Railcraft:track:0, Whistle Track
Railcraft:track:30516, Locomotive Track
Railcraft:track:16093, Limiter Track
Railcraft:track:0, Routing Track
Railcraft:track:32363, Buffer Stop Track
Railcraft:track:30946, One-Way Track
Railcraft:track:0, Directional Detector Track
Railcraft:track:0, Gated One-Way Track
Railcraft:track:19746, Gated Track
Railcraft:track:0, Suspended Track
Railcraft:track:2264, Disposal Track
Railcraft:track:736, Wooden Track
Railcraft:track:0, Wooden Booster Track
Railcraft:track:0, Wooden Junction Track
Railcraft:track:19986, Wooden Switch Track
Railcraft:track:0, Wooden Wye Track
Railcraft:track:0, Reinforced Track
Railcraft:track:0, Reinforced Booster Track
Railcraft:track:764, Reinforced Junction Track
Railcraft:track:0, Reinforced Switch Track
Railcraft:track:0, Reinforced Wye Track
Railcraft:track:0, Electric Track
Railcraft:track:0, Electric Junction Track
Railcraft:track:10488, Electric Switch Track
Railcraft:track:0, Electric Wye Track
Railcraft:track:816, H.S. Track
Railcraft:track:0, H.S. Booster Track
Railcraft:track:26865, H.S. Transition Track
Railcraft:track:7916, H.S. Switch Track
Railcraft:track:0, H.S. Wye Track
Railcraft:track:8103, Priming Track
Railcraft:track:0, Launcher Track
Railcraft:track.elevator, Elevator Track
Railcraft:signal:4, Switch Lever
Railcraft:signal:2, Switch Motor
Railcraft:signal:5, Routing Switch Motor
Railcraft:signal:3, Block Signal
Railcraft:signal:11, Distant Signal
Railcraft:signal:1, Dual-Head Block Signal
Railcraft:signal:12, Dual-Head Distant Signal
Railcraft:signal:13, Signal Block Relay Box
Railcraft:signal:8, Signal Receiver Box
Railcraft:signal:9, Signal Controller Box
Railcraft:signal:10, Analog Signal Controller Box
Railcraft:signal:7, Signal Capacitor Box
Railcraft:signal:6, Signal Sequencer Box
Railcraft:signal:0, Signal Interlock Box
Railcraft:brick.abyssal:0, Abyssal Brick
Railcraft:brick.abyssal:1, Fitted Abyssal Stone
Railcraft:brick.abyssal:2, Abyssal Block
Railcraft:brick.abyssal:3, Ornate Abyssal Stone
Railcraft:brick.abyssal:4, Etched Abyssal Stone
Railcraft:brick.abyssal:5, Abyssal Cobblestone
Railcraft:brick.bleachedbone:0, Bleached Bone Brick
Railcraft:brick.bleachedbone:1, Fitted Bleached Bone Stone
Railcraft:brick.bleachedbone:2, Bleached Bone Block
Railcraft:brick.bleachedbone:3, Ornate Bleached Bone Stone
Railcraft:brick.bleachedbone:4, Etched Bleached Bone Stone
Railcraft:brick.bleachedbone:5, Bleached Bone Cobblestone
Railcraft:brick.bloodstained:0, Blood Stained Brick
Railcraft:brick.bloodstained:1, Fitted Blood Stained Stone
Railcraft:brick.bloodstained:2, Blood Stained Block
Railcraft:brick.bloodstained:3, Ornate Blood Stained Stone
Railcraft:brick.bloodstained:4, Etched Blood Stained Stone
Railcraft:brick.bloodstained:5, Blood Stained Cobblestone
Railcraft:brick.frostbound:0, Frost Bound Brick
Railcraft:brick.frostbound:1, Fitted Frost Bound Stone
Railcraft:brick.frostbound:2, Frost Bound Block
Railcraft:brick.frostbound:3, Ornate Frost Bound Stone
Railcraft:brick.frostbound:4, Etched Frost Bound Stone
Railcraft:brick.frostbound:5, Frost Bound Cobblestone
Railcraft:brick.infernal:0, Infernal Brick
Railcraft:brick.infernal:1, Fitted Infernal Stone
Railcraft:brick.infernal:2, Infernal Block
Railcraft:brick.infernal:3, Ornate Infernal Stone
Railcraft:brick.infernal:4, Etched Infernal Stone
Railcraft:brick.infernal:5, Infernal Cobblestone
Railcraft:brick.quarried:0, Quarried Brick
Railcraft:brick.quarried:1, Fitted Quarried Stone
Railcraft:brick.quarried:2, Quarried Block
Railcraft:brick.quarried:3, Ornate Quarried Stone
Railcraft:brick.quarried:4, Etched Quarried Stone
Railcraft:brick.quarried:5, Quarried Cobblestone
Railcraft:brick.sandy:0, Sandy Brick
Railcraft:brick.sandy:1, Fitted Sandy Stone
Railcraft:brick.sandy:2, Sandy Block
Railcraft:brick.sandy:3, Ornate Sandy Stone
Railcraft:brick.sandy:4, Etched Sandy Stone
Railcraft:brick.sandy:5, Sandy Cobblestone
Railcraft:brick.nether:0, Nether Brick
Railcraft:brick.nether:1, Fitted Nether Stone
Railcraft:brick.nether:2, Nether Block
Railcraft:brick.nether:3, Ornate Nether Stone
Railcraft:brick.nether:4, Etched Nether Stone
Railcraft:brick.nether:5, Nether Cobblestone
Railcraft:post:0, Wooden Post
Railcraft:post:1, Stone Post
Railcraft:post:2, Metal Post
Railcraft:post:4, Wooden Platform
Railcraft:post:5, Stone Platform
Railcraft:post:6, Metal Platform
Railcraft:post.metal:0, Black Metal Post
Railcraft:post.metal:1, Red Metal Post
Railcraft:post.metal:2, Green Metal Post
Railcraft:post.metal:3, Brown Metal Post
Railcraft:post.metal:4, Blue Metal Post
Railcraft:post.metal:5, Purple Metal Post
Railcraft:post.metal:6, Cyan Metal Post
Railcraft:post.metal:7, Light Gray Metal Post
Railcraft:post.metal:8, Gray Metal Post
Railcraft:post.metal:9, Pink Metal Post
Railcraft:post.metal:10, Lime Metal Post
Railcraft:post.metal:11, Yellow Metal Post
Railcraft:post.metal:12, Light Blue Metal Post
Railcraft:post.metal:13, Magenta Metal Post
Railcraft:post.metal:14, Orange Metal Post
Railcraft:post.metal:15, White Metal Post
Railcraft:post.metal.platform:0, Black Metal Platform
Railcraft:post.metal.platform:1, Red Metal Platform
Railcraft:post.metal.platform:2, Green Metal Platform
Railcraft:post.metal.platform:3, Brown Metal Platform
